tweet_id,tweet_date,country,sentiment
1.2574E+018,05/04/2020,United States,2
1.2575E+018,05/05/2020,United States,2
1.25785E+018,05/06/2020,United States,2
1.25789E+018,05/06/2020,United States,0
1.25793E+018,05/06/2020,Mexico,0
1.25907E+018,05/09/2020,United Kingdom,2
1.25634E+018,05/01/2020,United States,2
1.25675E+018,05/03/2020,United States,2
1.25732E+018,05/04/2020,United States,2
1.25738E+018,05/04/2020,United States,0
1.25952E+018,05/10/2020,United States,2
1.25605E+018,05/01/2020,Mexico,2
1.25614E+018,05/01/2020,United Kingdom,2
1.25734E+018,05/04/2020,United States,0
1.25787E+018,05/06/2020,United States,0
1.2581E+018,05/06/2020,United Kingdom,2
1.25856E+018,05/08/2020,United States,2
1.25952E+018,05/10/2020,United States,2
1.25608E+018,05/01/2020,United States,2
1.25696E+018,05/03/2020,Mexico,2
1.25756E+018,05/05/2020,United States,2
1.25765E+018,05/05/2020,United States,2
1.2581E+018,05/06/2020,United Kingdom,2
1.25811E+018,05/06/2020,United States,0
1.25852E+018,05/07/2020,United Kingdom,2
1.25874E+018,05/08/2020,United Kingdom,2
1.25965E+018,05/11/2020,United States,0
1.25634E+018,05/01/2020,United States,2
1.25666E+018,05/02/2020,United States,2
1.257E+018,05/03/2020,United States,2
1.25766E+018,05/05/2020,United States,2
1.25848E+018,05/07/2020,Mexico,0
1.25863E+018,05/08/2020,United States,0
1.25614E+018,05/01/2020,United Kingdom,2
1.25674E+018,05/03/2020,United States,2
1.25739E+018,05/04/2020,France,2
1.25926E+018,05/09/2020,United States,2
1.25646E+018,05/02/2020,United States,0
1.25732E+018,05/04/2020,United States,2
1.25761E+018,05/05/2020,United Kingdom,2
1.2579E+018,05/06/2020,United States,0
1.25994E+018,05/11/2020,United States,2
1.25643E+018,05/02/2020,United States,2
1.25686E+018,05/03/2020,United States,2
1.2572E+018,05/04/2020,Canada,2
1.25826E+018,05/07/2020,United States,2
1.25897E+018,05/09/2020,United States,2
1.25915E+018,05/09/2020,United States,2
